event,x,y,speed,button,time,scroll,session_id
move,1409,24,0,,1736581536.2582843,,1736581533
move,1409,25,31.336087680894142,,1736581536.2902026,,1736581533
move,1409,26,0.24757429892825333,,1736581540.3283966,,1736581533
move,1412,26,103.71158696404727,,1736581540.357323,,1736581533
move,1441,37,31196.896037121,,1736581540.359314,,1736581533
move,1503,55,32371.126615185804,,1736581540.3603115,,1736581533
move,1571,69,11595.37576320503,,1736581540.3672943,,1736581533
move,1630,78,3324.786762688813,,1736581540.3842497,,1736581533
move,1693,83,63444.72207085009,,1736581540.3862424,,1736581533
move,1734,87,13773.05114224723,,1736581540.3882368,,1736581533
move,1757,88,1538.58617045262,,1736581540.404195,,1736581533
move,1772,89,2511.319704197666,,1736581540.410182,,1736581533
move,1788,95,228.46527442367713,,1736581540.4839807,,1736581533
move,1801,103,15309.247232869853,,1736581540.4849777,,1736581533
move,1824,118,27539.84864199562,,1736581540.4859748,,1736581533
move,1854,145,40440.938238273375,,1736581540.4879696,,1736581533
move,1897,177,26879.036278498148,,1736581540.488967,,1736581533
move,1917,259,304.42075666578177,,1736581540.7662272,,1736581533
move,1902,276,22787.31098913384,,1736581540.7682202,,1736581533
move,1875,295,11033.90975922025,,1736581540.7712111,,1736581533
move,1845,314,5086.125236930703,,1736581540.7781923,,1736581533
move,1808,337,2298.8856336516715,,1736581540.7971451,,1736581533
move,1775,357,19364.437526648588,,1736581540.7981398,,1736581533
move,1740,380,3229.948265634187,,1736581540.8111062,,1736581533
move,1708,406,41372.1493252408,,1736581540.8131008,,1736581533
move,1680,427,5848.8640981712415,,1736581540.8180869,,1736581533
move,1659,447,4844.271615755307,,1736581540.8250673,,1736581533
move,1647,459,1215.1683149786372,,1736581540.838039,,1736581533
move,1640,471,3487.0815915454978,,1736581540.842023,,1736581533
move,1631,482,1187.495225583652,,1736581540.8539915,,1736581533
move,1625,491,2709.0424798860176,,1736581540.858977,,1736581533
move,1619,501,899.692271280638,,1736581540.8709464,,1736581533
move,1612,507,1848.7150258355111,,1736581540.8769312,,1736581533
move,1605,514,827.1048626642906,,1736581540.8879023,,1736581533
move,1600,518,802.7933760256336,,1736581540.896886,,1736581533
move,1591,524,1205.0342482044978,,1736581540.9048545,,1736581533
move,1579,532,2065.4595058399577,,1736581540.911837,,1736581533
move,1569,538,1063.1535757414895,,1736581540.9228063,,1736581533
move,1557,544,1494.4625583947434,,1736581540.9327796,,1736581533
move,1551,547,747.4694911773507,,1736581540.9417548,,1736581533
move,1545,550,611.4714344959759,,1736581540.9527254,,1736581533
move,1541,552,407.6121892433082,,1736581540.9636965,,1736581533
move,1538,552,273.44051111545735,,1736581540.9746702,,1736581533
move,1534,555,557.0272782809636,,1736581540.982648,,1736581533
move,1528,558,420.42087422894383,,1736581540.999604,,1736581533
move,1515,564,957.0551118280147,,1736581541.015565,,1736581533
move,1497,572,6582.075155115456,,1736581541.0165567,,1736581533
move,1472,578,1718.763490667942,,1736581541.0315151,,1736581533
move,1441,586,16045.31580927324,,1736581541.0345085,,1736581533
move,1407,598,5163.648764599895,,1736581541.040493,,1736581533
move,1385,606,5869.568347002746,,1736581541.0444813,,1736581533
move,1369,612,552.702876168301,,1736581541.0763958,,1736581533
move,1357,618,6727.136063812991,,1736581541.0773928,,1736581533
move,1349,624,1253.3405050052293,,1736581541.0853715,,1736581533
move,1338,630,12551.821945631798,,1736581541.0863698,,1736581533
move,1324,638,4042.5056691834548,,1736581541.0903585,,1736581533
move,1309,646,2840.4241724096723,,1736581541.0973399,,1736581533
move,1286,658,703.0500869546408,,1736581541.1342409,,1736581533
move,1261,668,6749.243498244032,,1736581541.1372325,,1736581533
move,1244,672,1167.1505777913135,,1736581541.1531894,,1736581533
move,1236,672,8050.487523992322,,1736581541.1541867,,1736581533
move,1236,671,18.918315246317196,,1736581541.2060483,,1736581533
move,1241,671,250.6516230817039,,1736581541.2259963,,1736581533
move,1244,671,3008.826398852224,,1736581541.2279904,,1736581533
move,1248,674,238.69246528568178,,1736581541.2489345,,1736581533
move,1251,676,1808.512094819865,,1736581541.2509332,,1736581533
move,1253,683,2435.007498329253,,1736581541.2529242,,1736581533
move,1254,693,1007.679317185098,,1736581541.263894,,1736581533
move,1254,717,2405.8530149853013,,1736581541.2728732,,1736581533
move,1246,745,1946.9502361748866,,1736581541.2888265,,1736581533
move,1234,783,19964.38489100269,,1736581541.2898262,,1736581533
move,1218,819,19706.191376746385,,1736581541.2918253,,1736581533
move,1197,863,8153.229126780569,,1736581541.297805,,1736581533
move,1179,891,3708.7066526917297,,1736581541.3077772,,1736581533
move,1164,909,1563.4057328978993,,1736581541.3227375,,1736581533
move,1158,912,449.2168245185975,,1736581541.3367004,,1736581533
move,1157,914,25.47527743317084,,1736581541.4254615,,1736581533
move,1139,926,5435.286259812045,,1736581541.4294505,,1736581533
move,1115,939,1954.8224095631333,,1736581541.4424174,,1736581533
move,1072,958,9423.03002182254,,1736581541.4483995,,1736581533
move,1030,975,5047.785990320503,,1736581541.4563825,,1736581533
move,991,989,6926.987291629822,,1736581541.4623644,,1736581533
move,947,1002,4165.007416828352,,1736581541.4743333,,1736581533
move,914,1015,2745.143462795517,,1736581541.4863005,,1736581533
move,895,1024,21100.787708204636,,1736581541.488294,,1736581533
move,871,1036,1494.1649475935815,,1736581541.5062459,,1736581533
move,857,1048,4628.3150443329005,,1736581541.5102358,,1736581533
move,846,1059,2228.0367975643826,,1736581541.5162213,,1736581533
move,836,1069,1289.4312424493983,,1736581541.527189,,1736581533
move,827,1075,2169.073169375174,,1736581541.5321758,,1736581533
move,819,1079,229.94174348266696,,1736581541.5710738,,1736581533
move,812,1065,15728.61572498681,,1736581541.5730672,,1736581533
move,798,1037,2615.5873321153367,,1736581541.5840375,,1736581533
move,791,1025,773.3950969542257,,1736581541.6029875,,1736581533
move,781,1018,6154.346080694113,,1736581541.6039839,,1736581533
move,777,1017,1033.376660767891,,1736581541.6079738,,1736581533
move,772,1014,649.5480945595779,,1736581541.617947,,1736581533
move,768,1013,217.60293958892524,,1736581541.636896,,1736581533
move,766,1009,2241.574775884149,,1736581541.6378937,,1736581533
move,763,1003,672.5688814576142,,1736581541.6478677,,1736581533
move,758,997,489.46705300781423,,1736581541.6648233,,1736581533
move,755,989,951.5706076739325,,1736581541.6728032,,1736581533
move,751,982,4047.344096076553,,1736581541.6747952,,1736581533
move,746,975,862.4953332741605,,1736581541.684769,,1736581533
move,745,969,508.2666987783876,,1736581541.6967366,,1736581533
move,745,966,429.7882979813505,,1736581541.7037168,,1736581533
move,745,962,250.66810100104587,,1736581541.7206724,,1736581533
move,746,961,45.73566704331521,,1736581541.7515893,,1736581533
move,751,961,172.8953963857011,,1736581541.7795148,,1736581533
move,756,960,243.46107282076693,,1736581541.8014553,,1736581533
move,764,960,891.1489655538735,,1736581541.8094358,,1736581533
move,770,960,858.7552977307627,,1736581541.8174143,,1736581533
move,775,960,5042.442894926665,,1736581541.8184104,,1736581533
move,783,961,807.805831746007,,1736581541.8283849,,1736581533
